Type,Brand,URL,Category/Notes,meta_page_id
Customer,47 Skin,47skin.com,DTC silver-based blemish/spot treatment,
Competitor,Hero Cosmetics,herocosmetics.us,Mighty Patch acne patches - heavy FB advertiser,146046529286976
Competitor,Starface,starface.world,Hydrocolloid star pimple patches - heavy DTC,653811821804243
Competitor,Peace Out Skincare,peaceoutskincare.com,Acne dot patches and skincare,1189268724526292
Competitor,ZitSticka,zitsticka.com,Microdart pimple patches,1453529611348010
Competitor,Bubble Skincare,bubbleskincare.com,Gen Z DTC skincare,110491274191073
Competitor,Topicals,topicals.com,Hyperpigmentation skincare,2457542110944623
Competitor,Cosrx,cosrx.com,K-beauty acne patches,102046785244433
Competitor,Differin,differin.com,Galderma OTC retinoid (acne),1613109158994048
Competitor,Bioderma,bioderma.com,French pharmacy cleansers and acne care,179897462361905
,,,,
Customer,Alchemy Code,alchemycode.io,VERIFY CATEGORY - likely AI/dev tool or coding course,
Competitor,Cursor,cursor.sh,AI-powered code editor,
Competitor,Lovable,lovable.dev,AI app builder,
Competitor,Bolt.new,bolt.new,StackBlitz AI app builder,
Competitor,Replit,replit.com,Browser-based dev with AI,
Competitor,v0 by Vercel,v0.dev,AI UI generator,
Competitor,Codeium / Windsurf,codeium.com,AI coding assistant,
Competitor,Zero To Mastery,zerotomastery.io,Coding bootcamp/courses,
Competitor,Boot.dev,boot.dev,Backend coding course,
Competitor,Scrimba,scrimba.com,Interactive coding courses,
,,,,
Customer,Altenew,altenew.com,Papercrafting (stamps, inks, dies),
Competitor,Spellbinders,spellbinders.us,Dies and stamps,
Competitor,Sizzix,sizzix.com,Dies and embossing,
Competitor,Stampin' Up!,stampinup.com,Direct-sales stamping,
Competitor,Lawn Fawn,lawnfawn.com,Stamps, dies, papers,
Competitor,My Favorite Things,mftstamps.com,Stamps and dies,
Competitor,Concord & 9th,concordand9th.com,Stamps and dies,
Competitor,Pinkfresh Studio,pinkfreshstudio.com,Stamps, dies, paper,
Competitor,Catherine Pooler Designs,catherinepooler.com,Inks and stamps,
Competitor,Simon Says Stamp,simonsaysstamp.com,Crafting marketplace,
Competitor,Hero Arts,heroarts.com,Stamps and inks,
,,,,
Customer,Alterme,alterme.co,VERIFY CATEGORY - listed as wellness/lifestyle,
Competitor,Hims,hims.com,DTC men's wellness,
Competitor,Hers,forhers.com,DTC women's wellness,
Competitor,Ro,ro.co,Telehealth wellness,
Competitor,Thorne,thorne.com,Premium supplements,
Competitor,Care/of,takecareof.com,Personalized supplements,
Competitor,Ritual,ritual.com,Multivitamins,
Competitor,Seed Health,seed.com,Synbiotics,
Competitor,Levels,levels.health,Metabolic health,
,,,,
Customer,Audien,audienhearing.com,DTC OTC hearing aids,
Competitor,Eargo,eargo.com,DTC hearing aids,
Competitor,MDHearing,mdhearingaid.com,Affordable hearing aids,
Competitor,Jabra Enhance,jabraenhance.com,Online hearing aids (formerly Lively),
Competitor,Lexie Hearing,lexiehearing.com,Bose-developed OTC hearing aids,
Competitor,Hearing Assist,hearingassist.com,DTC hearing aids,
Competitor,Otofonix,otofonix.com,Affordable hearing aids,
Competitor,Go Hearing,gohearing.com,OTC hearing aids,
Competitor,Nano Hearing Aids,nanohearingaids.com,Budget OTC,
Competitor,Vibe Hearing,vibehearing.com,DTC hearing aids,
,,,,
Customer,Bentley,bentley.com,VERIFY - if luxury auto, lower paid-social activity than ecom brands,
Competitor,Rolls-Royce,rolls-roycemotorcars.com,Ultra-luxury automaker,
Competitor,Aston Martin,astonmartin.com,British luxury sports cars,
Competitor,Maserati,maserati.com,Italian luxury cars,
Competitor,Mercedes-Maybach,mercedes-benz.com,Ultra-luxury Mercedes line,
Competitor,Porsche,porsche.com,German luxury performance,
Competitor,Lexus LC/LS,lexus.com,Japanese luxury flagship,
Competitor,Genesis,genesis.com,Hyundai luxury brand,
Competitor,BMW (M / Alpina),bmw.com,German luxury performance,
,,,,
Customer,Broya,broya.ca,DTC bone broth (Canada),
Competitor,Kettle & Fire,kettleandfire.com,Bone broth DTC leader,
Competitor,Bonafide Provisions,bonafideprovisions.com,Frozen bone broth,
Competitor,FOND Bone Broth,fondbonebroth.com,Premium bone broth,
Competitor,Brodo,brodo.com,Premium broth (Marco Canora),
Competitor,LonoLife,lonolife.com,Powdered bone broth,
Competitor,Bare Bones Broth,barebonesbroth.com,Bone broth and soups,
Competitor,OssaOrganic,ossaorganic.com,Organic bone broth,
Competitor,Pacific Foods,pacificfoods.com,Broths and soups (Campbell's),
Competitor,Vital Proteins,vitalproteins.com,Collagen + bone broth (adjacent),
,,,,
Customer,Bugatti Group,bugattigroup.com,Luggage and travel goods,
Competitor,Samsonite,samsonite.com,Global luggage leader,
Competitor,Travelpro,travelpro.com,Travel luggage,
Competitor,American Tourister,americantourister.com,Mass luggage brand,
Competitor,Delsey,delseyusa.com,French luggage,
Competitor,Away,awaytravel.com,DTC luggage (heavy paid social),
Competitor,Monos,monos.com,DTC luggage (heavy paid social),
Competitor,July,july.com,DTC luggage (Australia),
Competitor,Béis,beistravel.com,DTC travel/luggage,
Competitor,Calpak,calpaktravel.com,DTC travel/luggage,
Competitor,Briggs & Riley,briggs-riley.com,Premium luggage,
Competitor,Antler,antler.com,Premium luggage,
,,,,
Customer,Easyamedia,easyamedia.com,VERIFY CATEGORY - assumed UGC/creative platform,
Competitor,Billo,billo.app,UGC creator marketplace,
Competitor,Insense,insense.pro,UGC and influencer platform,
Competitor,Trend,trend.io,UGC creator network,
Competitor,Cohley,cohley.com,UGC at scale,
Competitor,Minisocial,minisocial.com,Micro-influencer UGC,
Competitor,Aspire,aspire.io,Influencer marketing platform,
Competitor,#paid,hashtagpaid.com,Creator marketplace,
Competitor,Saral,getsaral.com,Influencer/creator platform,
,,,,
Customer,Froya,froya.com,VERIFY CATEGORY - possibly Norwegian seafood/health brand,
Competitor,Wild Alaskan Company,wildalaskancompany.com,DTC frozen wild seafood,
Competitor,Sizzlefish,sizzlefish.com,DTC seafood,
Competitor,Vital Choice,vitalchoice.com,Wild seafood DTC,
Competitor,Sea to Table,sea2table.com,DTC seafood,
Competitor,Crowd Cow,crowdcow.com,DTC meat/seafood marketplace,
Competitor,ButcherBox,butcherbox.com,DTC meat/seafood subscription,
Competitor,Fulton Fish Market,fultonfishmarket.com,DTC seafood,
,,,,
Customer,GovAssist,govassist.com,Visa/immigration services,
Competitor,VisaPlace,visaplace.com,Immigration services,
Competitor,Boundless Immigration,boundless.com,Immigration platform,
Competitor,ImmigrationDirect,immigrationdirect.com,DIY immigration forms,
Competitor,USAFIS,usafis.org,Diversity Visa lottery service,
Competitor,RapidVisa,rapidvisa.com,K-1/marriage visas,
Competitor,Path2USA,path2usa.com,US visa info/services,
Competitor,VisaHQ,visahq.com,Travel visa services,
Competitor,iVisa,ivisa.com,Travel visas online,
Competitor,US Visa Now,usvisanow.com,Immigration help,
,,,,
Customer,Guardian Choice Pet,guardianchoicepet.com,Pet supplements / pet products,
Competitor,Zesty Paws,zestypaws.com,Pet supplements (Wellness Pet Co),
Competitor,PetLab Co,thepetlabco.com,DTC pet supplements (heavy FB advertiser),
Competitor,PetHonesty,pethonesty.com,Pet supplements,
Competitor,NaturVet,naturvet.com,Pet supplements,
Competitor,Native Pet,nativepet.com,DTC pet supplements,
Competitor,Finn,petfinn.com,DTC pet supplements,
Competitor,Honest Paws,honestpaws.com,CBD/pet wellness,
Competitor,Doggie Dailies,doggiedailies.com,Pet supplements,
Competitor,VetIQ,vetiq.com,Pet supplements,
,,,,
Customer,Infiniwell,infiniwell.com,Premium wellness/supplements (mitochondrial/longevity),
Competitor,Thorne,thorne.com,Premium supplement brand,
Competitor,Pure Encapsulations,pureencapsulations.com,Practitioner-grade supplements,
Competitor,Designs for Health,designsforhealth.com,Practitioner-grade supplements,
Competitor,Athletic Greens (AG1),drinkag1.com,Greens powder DTC giant,
Competitor,Momentous,livemomentous.com,Premium athletic supplements,
Competitor,BiOptimizers,bioptimizers.com,Magnesium and digestive,
Competitor,Timeline (MitoPure),timeline.com,Urolithin A mitochondrial,
Competitor,Bulletproof,bulletproof.com,Performance supplements,
Competitor,Lyma,lyma.life,Premium supplement,
